,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
808,Alison Hill,OHSU,http://www.ohsu.edu/xd/education/schools/school-of-medicine/departments/basic-science-departments/csee/csee-people/hill.cfm,35wY-0QAAAAJ,2184,['Cardiovascular Nutrition'],https://scholar.google.com/citations?user=35wY-0QAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=35wY-0QAAAAJ&citpid=2
809,Alison Pease,University of Dundee,https://www.computing.dundee.ac.uk/about/staff/22,6g0XkjAAAAAJ,1485,"['artificial intelligence', 'philosophy of mathematical practice', 'mathematical cognition', 'computational creativity', 'argumentation']",https://scholar.google.com/citations?user=6g0XkjAAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6g0XkjAAAAAJ&citpid=2
810,Alistair Baron,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/alistair-baron,TbzxWckAAAAJ,1008,"['Natural Language Processing', 'Computational Linguistics', 'Cyber security', 'Corpus Linguistics', 'Noisy Text']",https://scholar.google.com/citations?user=TbzxWckAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TbzxWckAAAAJ&citpid=2
811,Alistair Knott,University of Otago,http://www.cs.otago.ac.nz/staffpriv/alik,_4c7Z18AAAAJ,3820,"['Natural Language Generation', 'Human-Machine Dialogue', 'Syntax', 'Sensorimotor Cognition']",https://scholar.google.com/citations?user=_4c7Z18AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_4c7Z18AAAAJ&citpid=2
812,Alistair Moffat,University of Melbourne,http://people.eng.unimelb.edu.au/ammoffat,r3xSME0AAAAJ,18837,"['Compression', 'indexing', 'retrieval', 'search', 'information systems']",https://scholar.google.com/citations?user=r3xSME0AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r3xSME0AAAAJ&citpid=2
813,Alistair P. Rendell,Australian National University,https://cs.anu.edu.au/people/alistair-rendell,JhyqYp4AAAAJ,5128,"['High performance computing', 'parallel computing', 'computational science', 'quantum chemistry']",https://scholar.google.com/citations?user=JhyqYp4AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JhyqYp4AAAAJ&citpid=2
814,Alistair Sinclair,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~sinclair,NOSCHOLARPAGE,,,,
815,Alistair Willis,Open University UK,http://stem.open.ac.uk/people/agw96,NOSCHOLARPAGE,,,,
816,Alke Martens,University of Rostock,https://pidi.informatik.uni-rostock.de/pi-team/alke-martens,LaewcHMAAAAJ,929,"['Lehr-/Lernsysteme', 'Didaktik der Informatik', 'Kognitive Systeme']",https://scholar.google.com/citations?user=LaewcHMAAAAJ&hl=en,
817,Alkmini Sgouritsa,University of Liverpool,https://www.liverpool.ac.uk/computer-science/staff/alkmini-sgouritsa,Mb_AoIgAAAAJ,120,"['Algorithmic game theory', 'mechanism design', 'algorithms']",https://scholar.google.com/citations?user=Mb_AoIgAAAAJ&hl=en,
818,Alla Sheffer,University of British Columbia,http://www.cs.ubc.ca/~sheffa,IgkGxLsAAAAJ,9713,"['Computer Graphics', 'graphics', 'geometry processing', 'geometric modeling']",https://scholar.google.com/citations?user=IgkGxLsAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IgkGxLsAAAAJ&citpid=3
819,Allan Aasbjerg Nielsen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,,,,
